idno,gincdif,nuts2,eisced,eiscedf,eiscedm,domicil,n2_unrao25_2022,wkhtot,ipeqopt,inprdsc,ppltrst,trstprl,gndr,agea,cntry,marsts,chldhhe,uemp3m,mbtru,hinctnta,c_gini_2022,c_effectiveness_2022,n2_unrao25_2020,n2_unrao25_2021,c_gini_2020,c_gini_2021,c_effectiveness_2020,c_effectiveness_2021,eqi21_n2,eqi21_n2_lowME,eqi21_n2_highME
10680,2,BE24,7,6,6.0,3,2.7,50,2,4,5,8,1,40,BE,66,6,2,3,9,24.9,1.2276587,3.1,3.1,25.4,24.1,1.078783,1.0870334,0.557,0.2524540000000001,0.861546
10684,2,BE21,7,6,6.0,4,3.2,42,2,3,8,3,1,57,BE,66,6,2,3,10,24.9,1.2276587,3.5,4.2,25.4,24.1,1.078783,1.0870334,0.478,0.153449,0.802551
10691,3,BE21,6,2,1.0,4,3.2,45,1,4,5,2,1,76,BE,66,1,2,3,4,24.9,1.2276587,3.5,4.2,25.4,24.1,1.078783,1.0870334,0.478,0.153449,0.802551
10706,2,BE24,6,3,6.0,4,2.7,39,2,4,6,5,2,29,BE,66,6,2,3,8,24.9,1.2276587,3.1,3.1,25.4,24.1,1.078783,1.0870334,0.557,0.2524540000000001,0.861546
10735,1,BE22,7,4,3.0,4,3.0,36,1,5,6,5,2,47,BE,4,6,2,3,77,24.9,1.2276587,3.0,2.8,25.4,24.1,1.078783,1.0870334,0.739,0.451199,1.026801
10766,4,BE31,7,6,4.0,3,4.6,45,1,5,8,6,1,27,BE,6,2,2,3,7,24.9,1.2276587,5.2,5.7,25.4,24.1,1.078783,1.0870334,0.459,0.160079,0.7579210000000001
10793,2,BE25,2,88,88.0,3,1.9,34,2,2,3,5,2,46,BE,66,6,2,1,7,24.9,1.2276587,2.7,2.8,25.4,24.1,1.078783,1.0870334,0.745,0.353999,1.136001
10795,2,BE31,7,6,88.0,3,4.6,42,1,6,7,8,1,38,BE,6,6,1,3,7,24.9,1.2276587,5.2,5.7,25.4,24.1,1.078783,1.0870334,0.459,0.160079,0.7579210000000001
10802,2,BE33,6,7,6.0,4,7.5,70,1,5,6,5,2,62,BE,66,1,2,3,7,24.9,1.2276587,6.8,8.1,25.4,24.1,1.078783,1.0870334,0.154,-0.077615,0.385615
10827,2,BE23,7,4,6.0,2,1.4,35,2,3,7,6,1,39,BE,6,6,1,2,5,24.9,1.2276587,2.2,2.1,25.4,24.1,1.078783,1.0870334,0.679,0.275555,1.082445
