idno,gincdif,nuts2,wkhtot,agea,cntry,eqi21_n2,eqi21_n2_lowME,eqi21_n2_highME,inc_redist,resp_ed,fath_ed,moth_ed,educ_mob_father,educ_mob_mother,educ_mob_avg,educ_mob_avg_category,EQI,domicile,unemp_nuts2,equality_importance,social_ties,gen_trust,gov_trust,income_decile,gender,union_member,child_ever,marital_status,unemp_ever,cntry_name,educ_mob_avg_bins
24407,1,LT02,40.0,61,France,-0.344,-0.750751,0.062751,1,2.0,1.0,1.0,7.0,7.0,7.0,2,1,3.0,3,2,3,2,1.0,8,0,0.0,,2.0,1.0,France,Moderate
24411,1,LT02,40.0,54,France,-0.344,-0.750751,0.062751,1,5.0,0.0,1.0,11.0,10.0,10.5,2,1,1.0,3,1,3,0,0.0,,1,0.0,,,0.0,France,Very High
24416,3,LT02,45.0,38,France,-0.344,-0.750751,0.062751,2,6.0,4.0,4.0,8.0,8.0,8.0,2,1,1.0,3,1,3,3,3.0,10,1,0.0,1.0,1.0,0.0,France,High
24439,1,LT02,40.0,70,France,-0.344,-0.750751,0.062751,1,3.0,0.0,0.0,9.0,9.0,9.0,2,1,3.0,3,1,2,1,1.0,9,0,0.0,,3.0,0.0,France,Very High
24461,2,LT01,50.0,47,France,-0.093,-0.444333,0.258333,1,6.0,3.0,4.0,9.0,8.0,8.5,2,1,1.0,2,2,2,3,3.0,10,1,0.0,,,0.0,France,High
24469,3,LT02,45.0,37,France,-0.344,-0.750751,0.062751,2,5.0,4.0,3.0,7.0,8.0,7.5,2,1,1.0,3,1,2,2,1.0,6,0,0.0,,0.0,1.0,France,High
24475,2,LT02,40.0,77,France,-0.344,-0.750751,0.062751,1,1.0,3.0,0.0,4.0,7.0,5.5,1,1,3.0,3,3,2,2,0.0,2,0,0.0,,3.0,0.0,France,Low
24496,3,LT01,,70,France,-0.093,-0.444333,0.258333,2,3.0,1.0,0.0,8.0,9.0,8.5,2,1,3.0,2,2,1,2,2.0,,1,0.0,1.0,,0.0,France,High
24514,3,LT02,40.0,62,France,-0.344,-0.750751,0.062751,2,1.0,0.0,0.0,7.0,7.0,7.0,2,1,1.0,3,2,1,3,1.0,3,1,0.0,1.0,3.0,0.0,France,Moderate
24517,2,LT02,50.0,45,France,-0.344,-0.750751,0.062751,1,6.0,4.0,4.0,8.0,8.0,8.0,2,1,4.0,3,1,2,3,2.0,7,1,0.0,1.0,2.0,1.0,France,High
24549,2,LT01,40.0,62,France,-0.093,-0.444333,0.258333,1,6.0,1.0,3.0,11.0,9.0,10.0,2,1,1.0,2,1,4,3,3.0,5,1,0.0,1.0,,1.0,France,Very High
24552,1,LT02,,50,France,-0.344,-0.750751,0.062751,1,3.0,3.0,1.0,6.0,8.0,7.0,2,1,3.0,3,1,2,3,0.0,1,0,0.0,1.0,2.0,1.0,France,Moderate
24567,3,LT02,40.0,26,France,-0.344,-0.750751,0.062751,2,5.0,3.0,6.0,8.0,5.0,6.5,2,1,1.0,3,1,3,1,1.0,3,1,0.0,0.0,,0.0,France,Moderate
24577,2,LT02,40.0,44,France,-0.344,-0.750751,0.062751,1,2.0,3.0,4.0,5.0,4.0,4.5,1,1,3.0,3,1,2,2,2.0,4,0,0.0,,2.0,1.0,France,Low
24589,3,LT01,,69,France,-0.093,-0.444333,0.258333,2,2.0,3.0,3.0,5.0,5.0,5.0,1,1,4.0,2,2,3,3,2.0,,1,0.0,1.0,0.0,,France,Low
24642,2,LT02,40.0,46,France,-0.344,-0.750751,0.062751,1,4.0,1.0,3.0,9.0,7.0,8.0,2,1,4.0,3,2,3,3,2.0,8,1,0.0,,,1.0,France,High
